dataT        dataTErr        dataB        dataE        dataTr       dataRALRAR   dataRATRAB   dataSpinRot  Asy          AsyPosErr          AsyNegErr          Sigma        SigmaPosErr        SigmaNegErr        Ph           PhPosErr           PhNegErr           Field        FieldPosErr        FieldNegErr        RelPh_L      RelPh_LPosErr      RelPh_LNegErr      N0_L         N0_LPosErr         N0_LNegErr         N_bkg_L      N_bkg_LPosErr      N_bkg_LNegErr      RelPh_T      RelPh_TPosErr      RelPh_TNegErr      N0_T         N0_TPosErr         N0_TNegErr         N_bkg_T      N_bkg_TPosErr      N_bkg_TNegErr      RelPh_R      RelPh_RPosErr      RelPh_RNegErr      alpha_LR     alpha_LRPosErr     alpha_LRNegErr     N_bkg_R      N_bkg_RPosErr      N_bkg_RNegErr      RelPh_B      RelPh_BPosErr      RelPh_BNegErr      alpha_TB     alpha_TBPosErr     alpha_TBNegErr     N_bkg_B      N_bkg_BPosErr      N_bkg_BNegErr      maxLH        NDF          maxLHred     RUN          
120.002      0.007           99.384       3.71888      15.0187      -0.003       -0.021       -10          0.1543        0.00077       0.00077       0.107         0.0042        0.0043        21.06         0.56          0.56          101.611       0.032         0.032         0            0             0             304.71        0.33          0.32          5.85          0.042         0.042         -88.67        0.69          0.69          322.01        0.33          0.33          6.275         0.043         0.043         182.67        0.68          0.68          1.048         0.0016        0.0016        6.506         0.044         0.043         91.87         0.71          0.71          0.9186        0.0014        0.0014        5.789         0.042         0.042         20371.9      20361        1.00054      2498         
110.002      0.007           99.388       3.71908      15.0188      -0.004       -0.021       -10          0.15162       0.00077       0.00076       0.1038        0.0043        0.0044        21.96         0.56          0.56          101.648       0.033         0.032         0            0             0             306.71        0.32          0.33          5.651         0.042         0.042         -88.95        0.7           0.71          322.89        0.33          0.33          6.064         0.043         0.043         180.98        0.69          0.7           1.0395        0.0015        0.0015        6.41          0.043         0.043         89.25         0.71          0.72          0.9199        0.0014        0.0014        5.683         0.042         0.041         20571.2      20361        1.01032      2499         
100.002      0.005           99.392       3.71967      15.0189      -0.004       -0.021       -10          0.15397       0.00077       0.00077       0.1179        0.004         0.0041        22.69         0.57          0.56          101.788       0.033         0.033         0            0             0             305.99        0.33          0.32          5.667         0.042         0.042         -89.73        0.69          0.7           322.59        0.33          0.33          6.099         0.043         0.043         180.18        0.69          0.7           1.0455        0.0015        0.0016        6.407         0.043         0.043         88.65         0.7           0.71          0.9225        0.0014        0.0014        5.755         0.042         0.042         20798.7      20361        1.0215       2500         
90.001       0.006           99.392       3.71908      15.0188      -0.004       -0.021       -10          0.15292       0.00078       0.00076       0.1139        0.0041        0.0041        22.77         0.56          0.56          101.934       0.033         0.032         0            0             0             305.8         0.33          0.32          5.615         0.041         0.042         -89.44        0.7           0.7           323.19        0.33          0.33          5.877         0.043         0.043         179.8         0.69          0.69          1.0427        0.0015        0.0016        6.38          0.043         0.043         90.59         0.72          0.72          0.9193        0.0014        0.0014        5.684         0.042         0.041         20651.7      20361        1.01428      2501         
80           0.004           99.396       3.71908      15.0187      -0.004       -0.021       -10          0.15503       0.0008        0.0008        0.1701        0.0037        0.0037        23.32         0.58          0.58          101.761       0.038         0.038         0            0             0             307.5         0.33          0.32          5.583         0.042         0.042         -89.57        0.72          0.72          322.69        0.33          0.33          6.069         0.043         0.043         180.36        0.7           0.71          1.0438        0.0015        0.0016        6.327         0.043         0.043         90.42         0.73          0.73          0.9273        0.0014        0.0014        5.494         0.041         0.041         20164.1      20361        0.99033      2502         
70.001       0.006           99.399       3.71908      15.0187      -0.004       -0.021       -10          0.14723       0.00085       0.00085       0.2154        0.0041        0.0041        24.96         0.63          0.63          100.813       0.046         0.046         0            0             0             305.91        0.33          0.32          5.739         0.042         0.042         -88.52        0.78          0.78          322.43        0.33          0.33          6.083         0.043         0.043         181.37        0.78          0.77          1.0466        0.0015        0.0016        6.381         0.044         0.043         90.77         0.8           0.8           0.9244        0.0014        0.0014        5.651         0.041         0.041         20557.8      20361        1.00967      2503         
60.001       0.005           99.4         3.71908      15.0186      -0.004       -0.021       -10          0.14658       0.00089       0.00089       0.2583        0.0044        0.0044        27.31         0.65          0.65          100.082       0.053         0.052         0            0             0             307.17        0.33          0.32          5.644         0.042         0.042         -90.36        0.81          0.81          322.7         0.33          0.33          6.046         0.043         0.043         179.44        0.8           0.8           1.0422        0.0015        0.0015        6.29          0.043         0.043         89.98         0.83          0.83          0.9204        0.0014        0.0014        5.629         0.042         0.041         20312.5      20361        0.997618     2504         
50.001       0.005           99.4         3.71908      15.0187      -0.004       -0.021       -10          0.14694       0.00092       0.00091       0.3015        0.0047        0.0046        26.54         0.67          0.67          99.56         0.06          0.06          0            0             0             308.21        0.33          0.33          5.725         0.042         0.042         -88.06        0.84          0.84          322.68        0.33          0.33          5.998         0.043         0.043         182.28        0.83          0.83          1.034         0.0015        0.0015        6.414         0.043         0.043         93.05         0.85          0.85          0.9233        0.0014        0.0014        5.554         0.041         0.041         20520.8      20361        1.00785      2505         
40           0.004           99.399       3.71908      15.0188      -0.003       -0.021       -10          0.14448       0.00093       0.00093       0.3229        0.0049        0.0049        27.69         0.71          0.71          99.218        0.065         0.065         0            0             0             308.64        0.33          0.32          5.629         0.042         0.042         -89.25        0.87          0.87          323.32        0.33          0.33          5.986         0.043         0.043         179.57        0.85          0.85          1.0321        0.0015        0.0015        6.356         0.043         0.043         92.12         0.88          0.88          0.9198        0.0014        0.0014        5.56          0.041         0.041         20387.1      20361        1.00128      2506         
30           0.003           99.399       3.71967      15.0187      -0.004       -0.021       -10          0.14302       0.00096       0.00096       0.3559        0.0054        0.0053        26.24         0.73          0.73          99.133        0.071         0.071         0            0             0             308.94        0.33          0.33          5.538         0.042         0.042         -89.1         0.89          0.89          325           0.33          0.33          5.966         0.043         0.043         180.61        0.88          0.88          1.0277        0.0015        0.0015        6.368         0.043         0.043         91.54         0.92          0.92          0.9171        0.0014        0.0014        5.501         0.041         0.041         20754.5      20361        1.01933      2507         
20           0.01            99.398       3.71967      15.0187      -0.003       -0.021       -10          0.14124       0.00098       0.00097       0.3703        0.0056        0.0055        27.39         0.74          0.74          98.751        0.075         0.075         0            0             0             309.63        0.33          0.32          5.579         0.042         0.042         -89.02        0.92          0.92          324.61        0.33          0.33          6.045         0.043         0.043         180.44        0.89          0.9           1.028         0.0015        0.0015        6.317         0.043         0.043         91.04         0.94          0.94          0.9176        0.0014        0.0014        5.626         0.042         0.041         20451.1      20361        1.00443      2508         
10           0.01            99.4         3.71967      15.0187      -0.004       -0.021       -10          0.13867       0.00099       0.00098       0.3824        0.0058        0.0058        29.09         0.77          0.77          98.629        0.079         0.079         0            0             0             309.62        0.33          0.32          5.543         0.042         0.042         -91.92        0.94          0.95          323.32        0.33          0.33          6.028         0.043         0.043         180.01        0.93          0.93          1.0266        0.0015        0.0015        6.234         0.043         0.043         90.07         0.96          0.96          0.9183        0.0014        0.0014        5.573         0.041         0.041         20426.7      20361        1.00323      2509         
5            0.009           99.399       3.71947      15.0187      -0.004       -0.021       -10          0.13438       0.00098       0.00098       0.3809        0.006         0.0059        27.97         0.79          0.79          98.57         0.082         0.081         0            0             0             309.88        0.33          0.33          5.664         0.042         0.042         -88.74        0.97          0.96          325.36        0.33          0.33          5.981         0.043         0.043         180.84        0.96          0.96          1.0271        0.0015        0.0015        6.324         0.043         0.043         92.48         0.98          0.99          0.9141        0.0014        0.0014        5.608         0.041         0.042         20906.7      20361        1.0268       2510         


